X,Y,xAcc,yAcc,tempo_obstaculo,tempo_total,pontuacao
X,Y,xAcc,yAcc,tempo_obstaculo,tempo_total,pontuacao
-1.00,-1.00,-1.00,-1.00,1.17,1.17,0
3.38,1.14,-0.03,0.04,1.22,1.22,0
3.62,0.91,-0.00,0.07,1.38,1.38,0
3.59,1.06,-0.00,0.06,1.59,1.59,0
3.77,1.42,-0.03,0.06,1.78,1.78,0
3.84,1.04,0.00,0.06,1.99,1.99,0
4.02,-0.67,0.01,0.07,2.19,2.19,0
4.28,-6.08,0.14,0.09,2.40,2.40,0
3.96,-11.34,0.18,0.08,2.61,2.61,0
3.54,-17.95,0.31,0.07,2.80,2.80,0
3.19,-24.74,0.40,0.05,3.01,3.01,0
2.65,-30.41,0.47,0.06,3.22,3.22,0
1.70,-33.58,0.48,0.03,3.41,3.41,0
1.71,-40.49,0.68,0.05,3.62,3.62,0
1.38,-42.45,0.64,0.03,3.81,3.81,0
1.34,-46.47,0.73,0.01,4.02,4.02,0
1.13,-50.52,0.78,0.03,4.23,4.23,0
1.57,-52.97,0.79,0.04,4.42,4.42,0
1.97,-54.79,0.79,0.05,4.63,4.63,0
1.73,-57.72,0.87,0.05,4.83,4.83,0
1.57,-59.84,0.88,0.05,5.03,5.03,0
1.98,-56.61,0.92,0.05,5.23,5.23,0
1.92,-32.35,0.45,0.02,5.44,5.44,0
3.29,-18.26,0.32,0.06,5.63,5.63,0
4.45,-10.70,0.19,0.09,5.84,5.84,0
3.76,-7.58,0.13,0.07,0.13,6.03,0
4.08,-5.69,0.09,0.08,0.34,6.24,0
4.29,-5.40,0.10,0.08,0.55,6.45,0
4.28,-6.83,0.11,0.06,0.74,6.64,0
3.91,-7.56,0.13,0.07,0.95,6.85,0
3.43,-12.03,0.16,0.04,1.16,7.06,0
3.23,-19.79,0.37,0.08,1.35,7.25,0
3.00,-30.28,0.41,0.03,1.56,7.46,0
1.32,-38.33,0.59,0.03,1.75,7.65,0
1.18,-41.59,0.59,-0.04,1.96,7.86,0
2.43,-45.03,0.76,0.03,2.17,8.07,0
4.37,-25.40,0.36,0.07,2.36,8.26,0
4.95,-13.30,0.20,0.08,2.57,8.47,0
5.05,-7.38,0.14,0.09,2.77,8.68,0
5.15,-5.22,0.10,0.09,2.97,8.87,0
5.01,-4.86,0.08,0.09,3.17,9.08,0
5.05,-4.61,0.08,0.08,3.37,9.27,0
5.02,-4.65,0.08,0.09,0.16,9.48,0
5.09,-4.77,0.08,0.09,0.36,9.68,0
5.05,-4.90,0.08,0.09,0.56,9.88,0
5.05,-5.18,0.08,0.08,0.76,10.08,0
4.85,-9.54,0.17,0.11,0.97,10.29,0
3.33,-19.07,0.31,0.03,1.16,10.48,0
2.17,-29.41,0.50,0.04,1.37,10.69,0
2.11,-34.43,0.52,0.04,1.58,10.90,0
2.32,-40.22,0.62,0.06,1.79,11.11,0
2.53,-43.78,0.68,0.06,2.00,11.32,0
2.69,-43.37,0.71,0.05,2.19,11.51,0
3.80,-27.87,0.42,0.06,2.40,11.72,0
3.90,-17.32,0.28,0.05,2.60,11.92,0
4.70,-12.22,0.20,0.07,2.81,12.13,0
5.00,-10.51,0.17,0.09,3.02,12.34,0
4.94,-10.51,0.17,0.09,3.21,12.53,0
4.72,-10.75,0.16,0.08,3.42,12.74,0
4.67,-10.94,0.18,0.08,0.08,12.95,0
